body,created_at,rate,product_name,user_name
بعد از ۴ ماه استفاده میگم، از همه نظر راضیم ازش ، فوق العادست تو این رنج قیمت. و حتما راضیتون میکنه از همه لحاظ. باتری هم خوبه یک روز رو برای من ساپورت میکنه. ,13 آبان 1404,5,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,کاربر دیجی‌کالا
سلام تشکر از دی جی کالا عزیز برای برادرم خریدم ,13 آبان 1404,4,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,محمدعلی مختارپور
کیفیت دور بین عالی هست و برای کار روزمره خوبه اما برنامه های سنگین رو داغ میکنه ,13 آبان 1404,4,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,حامد اشکوری ثالث
سلام همه چیش اوکی هست ولی همین که وقتی روی میز میزارم تاچش کار نمیکنه خیلی بده ،حتما باید بگیرم دستم ,13 آبان 1404,4,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,کاربر دیجی‌کالا
گوشی بسیار با صفحه نمایش عالی ..ولی عملکرد خوبی نداره ..هنگام نوشتن پیام حروف رو جابجا میزنه  و هنگ هم میکنه .. رو حساب قیمتش  نمیرزه .‌گران میباشد ..یعنی اگه A۳۶ هم بردارید هم کارو براتون میکنه با قیمت پایینتر ,13 آبان 1404,0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,کاربر دیجی‌کالا
عالی با قیمت خوب ,13 آبان 1404,4,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,مصطفی شکیبا
گوشی خیلی خوبیه. ولی بازار قیمت مناسب تر بود,12 آبان 1404,4,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,کاربر دیجی‌کالا
دوستان تو پرسش و پاسخ به اشتباه گفتن که شارژر ۴۵ ساپورت میکنه که اینطور نیست و تا ۲۵ وات بیشتر ساپورت نمیکنه,12 آبان 1404,0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,محمدسعید غیبی
متاسفانه مثل همیشه تحویل جنس به موقع انجام نمیشه,12 آبان 1404,3,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,Mehran Ekhlasi
عالی توصیه میکنم,11 آبان 1404,5,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,محمد همتی
"من این گوشی رو بخاطر دوربینش گرفتم و تا بحال راضی هستم
ممنون از دیجی ",11 آبان 1404,5,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,سروش امینی
دوماهه خریدم تا حالا که خیلی خوب بوده,11 آبان 1404,4,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,سجاد کریمی
عالیییی,11 آبان 1404,5,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,محمدحسین جلالی علی آبادی
"همه چیزش عالی.
سری S fe سامسونگ هم قیمتش خوبه هم کیفیتش به پای پرچمدارها میرسه",11 آبان 1404,5,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,کاربر دیجی‌کالا
قبلاً اس بیست و سه داشتم راضی بودم این ورژن جدیده اما هنوز بازنکردم هدیه خریدم هنوز وقتش نرسیده تحویل یا باز کنم,11 آبان 1404,5,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,محسن اسمعیلی منفرد
من از خود دیجی کالا خریدم سالم بود فعلا و به راحتی ریجستری شد واقعا خوب بود.,10 آبان 1404,5,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,کاربر دیجی‌کالا
خوبه ،  با بسته بندی آکبند و بدون ایراد بدستم رسید,10 آبان 1404,2,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,سیدحمید آقاسیدقاسم
به موقع رسید دستم,10 آبان 1404,5,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,پریسا آقامحسنی
