body,created_at,rate,product_name,user_name,label,positive_prob
بعد از ۴ ماه استفاده میگم، از همه نظر راضیم ازش ، فوق العادست تو این رنج قیمت. و حتما راضیتون میکنه از همه لحاظ. باتری هم خوبه یک روز رو برای من ساپورت میکنه. ,13 آبان 1404,5.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,کاربر دیجی‌کالا,مثبت,0.8807970779778825
سلام تشکر از دی جی کالا عزیز برای برادرم خریدم ,13 آبان 1404,4.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,محمدعلی مختارپور,مثبت,0.5
کیفیت دور بین عالی هست و برای کار روزمره خوبه اما برنامه های سنگین رو داغ میکنه ,13 آبان 1404,4.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,حامد اشکوری ثالث,مثبت,0.9525741268224334
سلام همه چیش اوکی هست ولی همین که وقتی روی میز میزارم تاچش کار نمیکنه خیلی بده ،حتما باید بگیرم دستم ,13 آبان 1404,4.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,کاربر دیجی‌کالا,منفی,0.2689414213699951
گوشی بسیار با صفحه نمایش عالی ..ولی عملکرد خوبی نداره ..هنگام نوشتن پیام حروف رو جابجا میزنه  و هنگ هم میکنه .. رو حساب قیمتش  نمیرزه .‌گران میباشد ..یعنی اگه A۳۶ هم بردارید هم کارو براتون میکنه با قیمت پایینتر ,13 آبان 1404,0.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,کاربر دیجی‌کالا,مثبت,0.7310585786300049
عالی با قیمت خوب ,13 آبان 1404,4.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,مصطفی شکیبا,مثبت,0.8807970779778825
گوشی خیلی خوبیه. ولی بازار قیمت مناسب تر بود,12 آبان 1404,4.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,کاربر دیجی‌کالا,مثبت,0.8807970779778825
دوستان تو پرسش و پاسخ به اشتباه گفتن که شارژر ۴۵ ساپورت میکنه که اینطور نیست و تا ۲۵ وات بیشتر ساپورت نمیکنه,12 آبان 1404,0.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,محمدسعید غیبی,مثبت,0.7310585786300049
متاسفانه مثل همیشه تحویل جنس به موقع انجام نمیشه,12 آبان 1404,3.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,Mehran Ekhlasi,مثبت,0.5
عالی توصیه میکنم,11 آبان 1404,5.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,محمد همتی,مثبت,0.7310585786300049
"من این گوشی رو بخاطر دوربینش گرفتم و تا بحال راضی هستم
ممنون از دیجی ",11 آبان 1404,5.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,سروش امینی,مثبت,0.7310585786300049
دوماهه خریدم تا حالا که خیلی خوب بوده,11 آبان 1404,4.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,سجاد کریمی,مثبت,0.7310585786300049
عالیییی,11 آبان 1404,5.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,محمدحسین جلالی علی آبادی,مثبت,0.7310585786300049
"همه چیزش عالی.
سری S fe سامسونگ هم قیمتش خوبه هم کیفیتش به پای پرچمدارها میرسه",11 آبان 1404,5.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,کاربر دیجی‌کالا,مثبت,0.9525741268224334
قبلاً اس بیست و سه داشتم راضی بودم این ورژن جدیده اما هنوز بازنکردم هدیه خریدم هنوز وقتش نرسیده تحویل یا باز کنم,11 آبان 1404,5.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,محسن اسمعیلی منفرد,مثبت,0.7310585786300049
من از خود دیجی کالا خریدم سالم بود فعلا و به راحتی ریجستری شد واقعا خوب بود.,10 آبان 1404,5.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,کاربر دیجی‌کالا,مثبت,0.7310585786300049
خوبه ،  با بسته بندی آکبند و بدون ایراد بدستم رسید,10 آبان 1404,2.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,سیدحمید آقاسیدقاسم,مثبت,0.5
به موقع رسید دستم,10 آبان 1404,5.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,پریسا آقامحسنی,مثبت,0.5
درود نسخه ویتنام و دقیقا مطابق با مشخصات برام ارسال شد با تشکر از دیجی کالا,10 آبان 1404,5.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,سیدحسن زمزم,مثبت,0.5
لمسش مشکل داره و خیلی داغ میکنه راضی نیستم,10 آبان 1404,1.0,گوشی موبایل سامسونگ مدل S24 FE دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت - ویتنام,فاطمه فرقیاری,مثبت,0.5
"به معنای واقعی ی گوشی اقتصادی
فقط براي اینکه میخوای تلفن همراهت از برنر سامسونگ باشه
اثر انگشت روی لبه میتونه کار رو برای کسانی ک بهش عادت ندارن یکمی مشکل کنه
به کیفیت دوربين ن چندان قدرتمند هم اشاره‌ کنم 
باقی موارد هم در حد عادی",14 آبان 1404,3.0,گوشی موبایل سامسونگ مدل Galaxy A16 4G دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت - ویتنام,سیدحسین نجفیان صرمی,مثبت,0.5
